lỗi,Key,KeyID,en,vn
order_info,delete_original_receipt_failed,order_info.delete_original_receipt_failed,,Xóa mã hóa đơn gốc thất bại
order_info,update_success,order_info.update_success,,Cập nhật thông tin đơn thành công
order_info,update_failed,order_info.update_failed,,Cập nhật thông tin đơn thất bại
order_original_receipt,message.duplicate_code,order_original_receipt.message.duplicate_code,,Mã hõa đơn đã tồn tại trên đơn
order_original_receipt,add_title,order_original_receipt.add_title,,Thêm hóa đơn
order_original_receipt,list,order_original_receipt.list,,Danh sách hóa đơn
order_original_receipt,update_delete_btn,order_original_receipt.update_delete_btn,,Cập nhật thay đổi
order_original_receipt,cancel_btn,order_original_receipt.cancel_btn,,Hủy
order_original_receipt,edit_modal_title,order_original_receipt.edit_modal_title,,Chỉnh sửa hóa đơn gốc
order_original_receipt,no_data,order_original_receipt.no_data,,Chưa có dữ liệu
order_detail,tab_product,order_detail.tab_product,Product,Sản phẩm
order_detail,tab_transport,order_detail.tab_transport,Transport,Vận chuyển
order_detail,tab_finance,order_detail.tab_finance,Finance,Phí đơn hàng
order_detail,tab_trade,order_detail.tab_trade,Trade,Giao dịch
order_detail,tab_history,order_detail.tab_history,Timeline,Lịch sử đơn hàng
order_detail,service,order_detail.service,Services,Dịch vụ
order_detail_product,title_table,order_detail_product.title_table,Product,Sản phẩm
order_detail_product,price,order_detail_product.price,Price,Đơn giá
order_detail_product,total,order_detail_product.total,Total amount,Tổng tiền
order_detail_product,export_csv,order_detail_product.export_csv,Export CSV,Xuất CSV
order_detail_product,bt_buy_enough,order_detail_product.bt_buy_enough,Buy enough,Mua đủ
order_detail_product,bt_receive_enough,order_detail_product.bt_receive_enough,Receive enough,Nhận đủ
order_detail_product,title_language,order_detail_product.title_language,Change language,Đổi ngôn ngữ
order_detail_product,title_quantity,order_detail_product.title_quantity,Order/Purchase/Receive,Đặt/Mua/Nhận
order_detail_product,title_popup_edit_price,order_detail_product.title_popup_edit_price,Change Price,Thay đổi đơn giá
order_detail_product,title_popup_edit_quantity,order_detail_product.title_popup_edit_quantity,Change Quantity,Thay đổi số lượng
order_detail_product,purchase_quantity,order_detail_product.purchase_quantity,Purchased quantity,Số lượng mua
order_detail_product,receice_quantity,order_detail_product.receice_quantity,Received quantity,Số lượng nhận
order_detail_product,chat_private,order_detail_product.chat_private,,Chat nội bộ về SP
order_detail_product,chat_note,order_detail_product.chat_note,,Ghi chú cho SP
order_detail_product,title_remark,order_detail_product.title_remark,Remark,Ghi chú của khách
order_detail_product,title_staff_remark,order_detail_product.title_staff_remark,Staff Remark,Ghi chú của nhân viên
comment_internal,tab_all,comment_internal.tab_all,All,Tất cả
comment_internal,tab_comment,comment_internal.tab_comment,Comments,Trao đổi
comment_internal,tab_log,comment_internal.tab_log,Log,Log
comment_internal,title,comment_internal.title,Comment internal,Trao đổi nội bộ
comment_internal,bt_send,comment_internal.bt_send,Send,Gửi
status,ACCEPTED,status.ACCEPTED,,Chưa mua
status,PENDING_PURCHASING,status.PENDING_PURCHASING,,Chưa mua
status,DEPOSITED,status.DEPOSITED,,Đã đặt cọc
status,WAITING_FOR_PAYMENT,status.WAITING_FOR_PAYMENT,,Chờ thanh toán
status,WAIT_FOR_APPROVE,status.WAIT_FOR_APPROVE,,Chờ duyệt
status,CUSTOMER_RECEIVED,status.CUSTOMER_RECEIVED,,Khách nhận
status,PURCHASED,status.PURCHASED,,Đã mua hàng
status,TRANSPORTING,status.TRANSPORTING,,Vận chuyển
status,MIA,status.MIA,,Thất lạc
